day,city,S,E,I,R
2,Frisco,210238.00,0.00,0.00,0.00
2,Amarillo,205100.00,0.00,0.00,0.00
2,Galveston,202809.99,0.00,0.01,0.00
2,McKinney,202314.00,0.00,0.00,0.00
2,Grand Prairie,198564.00,0.00,0.00,0.00
2,Waco,197594.00,0.00,0.00,0.00
2,Odessa,162648.00,0.00,0.00,0.00
2,Pasadena,149344.97,0.01,0.02,0.00
2,Mesquite,148848.00,0.00,0.00,0.00
2,Beaumont,146554.00,0.00,0.00,0.00
2,Midland,143714.00,0.00,0.00,0.00
2,Carrollton,132741.00,0.00,0.00,0.00
2,Tyler,131037.00,0.00,0.00,0.00
2,Lewisville,128313.00,0.00,0.00,0.00
2,Abilene,127130.00,0.00,0.00,0.00
2,Pearland,125982.97,0.01,0.02,0.00
2,Round Rock,124288.00,0.00,0.00,0.00
2,Temple,123932.00,0.00,0.00,0.00
2,Richardson,118269.00,0.00,0.00,0.00
2,The Woodlands,116915.99,0.00,0.01,0.00
2,Harlingen,115767.00,0.00,0.00,0.00
2,League City,114884.99,0.00,0.01,0.00
2,Port Arthur,114860.00,0.00,0.00,0.00
2,Longview,112687.00,0.00,0.00,0.00
2,Sugar Land,109734.98,0.01,0.01,0.00
2,Allen,107684.00,0.00,0.00,0.00
2,Edinburg,102561.00,0.00,0.00,0.00
2,Wichita Falls,102558.00,0.00,0.00,0.00
2,San Angelo,99507.00,0.00,0.00,0.00
2,New Braunfels,98700.00,0.00,0.00,0.00
2,Conroe,96975.99,0.00,0.00,0.00
2,Atascocita,93925.98,0.01,0.01,0.00
2,Mission,86234.00,0.00,0.00,0.00
2,Bryan,86169.00,0.00,0.00,0.00
2,Baytown,84537.99,0.00,0.01,0.00
