day,S,E,I,R,I_rep,new_rep
225,30740037.91462712,81268.84292798067,118837.89280026531,910004.3496446296,11883.789280026533,1188.3789280026533
226,30721822.154629838,83652.7894963399,122598.54584977617,922075.51002405,12259.854584977618,1225.9854584977618
227,30703106.74488137,86074.93935362383,126440.52476765742,934526.7909973491,12644.052476765743,1264.4052476765744
228,30683885.78096817,88533.97840031609,130362.96486088596,947366.2757706294,13036.296486088597,1303.6296486088597
229,30664153.648508556,91028.6960478501,134364.6356438056,960602.0197997849,13436.463564380561,1343.6463564380563
230,30643905.36455672,93557.30407635146,138444.47614196115,974241.8552249668,13844.447614196115,1384.4447614196115
231,30623136.37561879,96117.91072641162,142601.23442396816,988293.4792308273,14260.123442396816,1426.0123442396816
232,30601842.424984176,98708.90377476875,146833.1204717419,1002764.5507693143,14683.31204717419,1468.331204717419
233,30580019.761686407,101328.47839386167,151138.21631053323,1017662.5436091957,15113.821631053324,1511.3821631053324
234,30557665.500149738,103974.09450392102,155514.79531041966,1032994.610035924,15551.479531041967,1555.1479531041969
235,30534777.103958357,106643.49008787546,159960.62800045646,1048767.7779533125,15996.062800045647,1599.6062800045647
236,30511352.38530026,109334.67224428375,164473.0103064788,1064988.932148978,16447.30103064788,1644.730103064788
237,30487389.809279032,112045.1274105302,169049.50099268145,1081664.5623177562,16904.950099268146,1690.4950099268146
238,30462888.49643581,114772.15777112466,173687.4647288277,1098800.8810642392,17368.746472882773,1736.8746472882774
239,30437848.489073277,117512.9475959675,178383.62288320268,1116403.9404475496,17838.36228832027,1783.836228832027
240,30412270.40010982,120264.6289233029,183134.5234240893,1134479.447542791,18313.45234240893,1831.3452342408932
241,30386155.338180806,123024.07545690333,187936.97724491803,1153032.6091173685,18793.697724491805,1879.3697724491806
242,30359504.909504313,125788.45222406338,192787.25165837252,1172068.3866132512,19278.72516583725,1927.8725165837252
243,30332321.20500282,128555.21313463344,197681.10803044087,1191591.4738321053,19768.11080304409,1976.811080304409
