day,city,S,E,I,R,I_rep,new_rep
0,Uvalde,15344.00,0.00,0.00,0.00,0.00,0.00
0,Rio Grande City,15258.00,0.00,0.00,0.00,0.00,0.00
0,Mineral Wells,15130.00,0.00,0.00,0.00,0.00,0.00
0,West University Place,14907.00,0.00,0.00,0.00,0.00,0.00
0,Hereford,14874.00,0.00,0.00,0.00,0.00,0.00
0,Lockhart,14708.00,0.00,0.00,0.00,0.00,0.00
0,Dumas,14362.00,0.00,0.00,0.00,0.00,0.00
0,Hidalgo,14250.00,0.00,0.00,0.00,0.00,0.00
0,Jacksonville,14186.00,0.00,0.00,0.00,0.00,0.00
0,Wells Branch,14156.00,0.00,0.00,0.00,0.00,0.00
0,Forest Hill,13923.00,0.00,0.00,0.00,0.00,0.00
0,Lumberton,13803.00,0.00,0.00,0.00,0.00,0.00
0,Azle,13734.00,0.00,0.00,0.00,0.00,0.00
0,Port Neches,13627.00,0.00,0.00,0.00,0.00,0.00
0,Seabrook,13617.00,0.00,0.00,0.00,0.00,0.00
0,Beeville,13518.00,0.00,0.00,0.00,0.00,0.00
0,Trophy Club,13454.00,0.00,0.00,0.00,0.00,0.00
0,Kilgore,13444.00,0.00,0.00,0.00,0.00,0.00
0,Andrews,13416.00,0.00,0.00,0.00,0.00,0.00
0,Henderson,13348.00,0.00,0.00,0.00,0.00,0.00
0,Tomball,13032.00,0.00,0.00,0.00,0.00,0.00
0,Athens,13013.00,0.00,0.00,0.00,0.00,0.00
0,Manvel,12873.00,0.00,0.00,0.00,0.00,0.00
0,Santa Fe,12828.00,0.00,0.00,0.00,0.00,0.00
0,Robinson,12668.00,0.00,0.00,0.00,0.00,0.00
0,Lantana,12583.00,0.00,0.00,0.00,0.00,0.00
0,Levelland,12565.00,0.00,0.00,0.00,0.00,0.00
0,Borger,12398.00,0.00,0.00,0.00,0.00,0.00
0,Webster,12283.00,0.00,0.00,0.00,0.00,0.00
0,El Campo,12220.00,0.00,0.00,0.00,0.00,0.00
0,Richmond,12117.00,0.00,0.00,0.00,0.00,0.00
0,Hornsby Bend,12021.00,0.00,0.00,0.00,0.00,0.00
0,Fort Bliss,12009.00,0.00,0.00,0.00,0.00,0.00
0,Granbury,11665.00,0.00,0.00,0.00,0.00,0.00
0,Roma,11543.00,0.00,0.00,0.00,0.00,0.00
0,Four Corners,11490.00,0.00,0.00,0.00,0.00,0.00
0,Leon Valley,11479.00,0.00,0.00,0.00,0.00,0.00
0,Port Lavaca,11410.00,0.00,0.00,0.00,0.00,0.00
0,La Homa,11389.00,0.00,0.00,0.00,0.00,0.00
0,Snyder,11310.00,0.00,0.00,0.00,0.00,0.00
0,Selma,11302.00,0.00,0.00,0.00,0.00,0.00
0,Fredericksburg,11254.00,0.00,0.00,0.00,0.00,0.00
0,Iowa Colony,11028.00,0.00,0.00,0.00,0.00,0.00
0,Heartland,11019.00,0.00,0.00,0.00,0.00,0.00
0,Burkburnett,11012.00,0.00,0.00,0.00,0.00,0.00
0,Elgin,10996.00,0.00,0.00,0.00,0.00,0.00
0,Pleasanton,10854.00,0.00,0.00,0.00,0.00,0.00
0,Scenic Oaks,10727.00,0.00,0.00,0.00,0.00,0.00
0,Clute,10650.00,0.00,0.00,0.00,0.00,0.00
0,Freeport,10639.00,0.00,0.00,0.00,0.00,0.00
0,Fair Oaks Ranch,10630.00,0.00,0.00,0.00,0.00,0.00
0,Bonham,10594.00,0.00,0.00,0.00,0.00,0.00
0,Fairview,10570.00,0.00,0.00,0.00,0.00,0.00
1,Houston,6045311.44,144.79,908.07,94.51,90.81,9.08
1,Dallas,5843630.32,0.03,0.23,0.02,0.02,0.00
1,San Antonio,2069840.92,0.03,0.28,0.03,0.03,0.00
1,Austin,1915028.68,0.04,0.31,0.03,0.03,0.00
1,Fort Worth,941310.76,0.00,0.03,0.00,0.00,0.00
1,El Paso,862493.89,0.00,0.01,0.00,0.00,0.00
1,McAllen,810033.85,0.00,0.02,0.00,0.00,0.00
1,Denton,455151.89,0.00,0.01,0.00,0.00,0.00
1,Arlington,394768.90,0.00,0.01,0.00,0.00,0.00
1,Corpus Christi,339431.23,0.01,0.10,0.01,0.01,0.00
1,Plano,287338.94,0.00,0.01,0.00,0.00,0.00
1,Lubbock,283023.75,0.00,0.03,0.00,0.00,0.00
1,Killeen,261098.79,0.00,0.03,0.00,0.00,0.00
1,Laredo,255948.61,0.01,0.05,0.01,0.01,0.00
1,Irving,255035.94,0.00,0.01,0.00,0.00,0.00
1,Garland,245297.94,0.00,0.01,0.00,0.00,0.00
1,Brownsville,223415.84,0.00,0.02,0.00,0.00,0.00
1,College Station,215767.07,0.02,0.13,0.01,0.01,0.00
1,Frisco,210237.96,0.00,0.01,0.00,0.00,0.00
1,Amarillo,205099.86,0.00,0.02,0.00,0.00,0.00
1,Galveston,202807.95,0.03,0.28,0.03,0.03,0.00
1,McKinney,202313.96,0.00,0.01,0.00,0.00,0.00
1,Grand Prairie,198563.95,0.00,0.01,0.00,0.00,0.00
1,Waco,197593.77,0.00,0.03,0.00,0.00,0.00
1,Odessa,162647.95,0.00,0.01,0.00,0.00,0.00
1,Pasadena,149338.63,0.12,0.87,0.09,0.09,0.01
1,Mesquite,148847.96,0.00,0.00,0.00,0.00,0.00
1,Beaumont,146553.11,0.01,0.12,0.01,0.01,0.00
1,Midland,143713.94,0.00,0.01,0.00,0.00,0.00
1,Carrollton,132740.97,0.00,0.00,0.00,0.00,0.00
1,Tyler,131036.82,0.00,0.02,0.00,0.00,0.00
1,Lewisville,128312.97,0.00,0.00,0.00,0.00,0.00
1,Abilene,127129.88,0.00,0.02,0.00,0.00,0.00
1,Pearland,125977.16,0.11,0.80,0.08,0.08,0.01
1,Round Rock,124287.91,0.00,0.01,0.00,0.00,0.00
1,Temple,123931.86,0.00,0.02,0.00,0.00,0.00
1,Richardson,118268.97,0.00,0.00,0.00,0.00,0.00
1,The Woodlands,116913.60,0.04,0.32,0.03,0.03,0.00
1,Harlingen,115766.96,0.00,0.01,0.00,0.00,0.00
1,League City,114882.76,0.04,0.30,0.03,0.03,0.00
1,Port Arthur,114859.49,0.01,0.07,0.01,0.01,0.00
1,Longview,112686.84,0.00,0.02,0.00,0.00,0.00
1,Sugar Land,109731.41,0.06,0.49,0.05,0.05,0.00
1,Allen,107683.98,0.00,0.00,0.00,0.00,0.00
1,Edinburg,102560.98,0.00,0.00,0.00,0.00,0.00
1,Wichita Falls,102557.94,0.00,0.01,0.00,0.00,0.00
1,San Angelo,99506.89,0.00,0.01,0.00,0.00,0.00
1,New Braunfels,98699.92,0.00,0.01,0.00,0.00,0.00
1,Conroe,96974.68,0.02,0.18,0.02,0.02,0.00
1,Atascocita,93922.12,0.07,0.53,0.06,0.05,0.01
1,Mission,86233.99,0.00,0.00,0.00,0.00,0.00
1,Bryan,86168.75,0.00,0.03,0.00,0.00,0.00
1,Baytown,84536.06,0.03,0.26,0.03,0.03,0.00
1,Pharr,79808.99,0.00,0.00,0.00,0.00,0.00
1,Georgetown,78802.94,0.00,0.01,0.00,0.00,0.00
1,Texarkana,78540.89,0.00,0.01,0.00,0.00,0.00
1,Flower Mound,77885.98,0.00,0.00,0.00,0.00,0.00
1,Cedar Park,77473.95,0.00,0.01,0.00,0.00,0.00
1,Mansfield,75397.98,0.00,0.00,0.00,0.00,0.00
1,Missouri City,75231.04,0.05,0.40,0.04,0.04,0.00
1,San Marcos,74468.93,0.00,0.01,0.00,0.00,0.00
1,Sherman,73983.98,0.00,0.00,0.00,0.00,0.00
1,North Richland Hills,70337.99,0.00,0.00,0.00,0.00,0.00
1,Leander,67879.96,0.00,0.01,0.00,0.00,0.00
1,Spring,67100.55,0.04,0.33,0.03,0.03,0.00
1,Victoria,66522.74,0.00,0.04,0.00,0.00,0.00
1,Pflugerville,65161.95,0.00,0.01,0.00,0.00,0.00
1,Rowlett,64138.99,0.00,0.00,0.00,0.00,0.00
1,Euless,60372.99,0.00,0.00,0.00,0.00,0.00
1,Wylie,58990.99,0.00,0.00,0.00,0.00,0.00
1,DeSoto,55895.99,0.00,0.00,0.00,0.00,0.00
1,Texas City,54158.34,0.01,0.09,0.01,0.01,0.00
1,Kyle,52438.96,0.00,0.01,0.00,0.00,0.00
1,Little Elm,51425.99,0.00,0.00,0.00,0.00,0.00
1,Burleson,50980.98,0.00,0.00,0.00,0.00,0.00
1,Grapevine,50874.99,0.00,0.00,0.00,0.00,0.00
1,Rockwall,49604.99,0.00,0.00,0.00,0.00,0.00
1,Bedford,49190.99,0.00,0.00,0.00,0.00,0.00
1,Cedar Hill,48546.99,0.00,0.00,0.00,0.00,0.00
1,Huntsville,46916.64,0.01,0.05,0.01,0.00,0.00
1,Haltom City,45680.99,0.00,0.00,0.00,0.00,0.00
1,Keller,45597.99,0.00,0.00,0.00,0.00,0.00
1,The Colony,44915.99,0.00,0.00,0.00,0.00,0.00
1,Waxahachie,43590.98,0.00,0.00,0.00,0.00,0.00
1,Channelview,43534.04,0.04,0.27,0.03,0.03,0.00
1,Schertz,43127.98,0.00,0.00,0.00,0.00,0.00
1,Coppell,42028.99,0.00,0.00,0.00,0.00,0.00
1,Weslaco,41436.99,0.00,0.00,0.00,0.00,0.00
1,Friendswood,40825.92,0.02,0.15,0.02,0.01,0.00
1,Lancaster,40752.99,0.00,0.00,0.00,0.00,0.00
1,Hurst,39911.99,0.00,0.00,0.00,0.00,0.00
1,Duncanville,39878.99,0.00,0.00,0.00,0.00,0.00
1,Rosenberg,39466.33,0.01,0.09,0.01,0.01,0.00
1,Mission Bend,37278.55,0.03,0.20,0.02,0.02,0.00
1,Midlothian,37255.99,0.00,0.00,0.00,0.00,0.00
1,Copperas Cove,37148.97,0.00,0.00,0.00,0.00,0.00
1,Farmers Branch,36253.99,0.00,0.00,0.00,0.00,0.00
1,Socorro,36237.00,0.00,0.00,0.00,0.00,0.00
1,La Porte,36076.03,0.02,0.13,0.01,0.01,0.00
1,San Juan,35674.00,0.00,0.00,0.00,0.00,0.00
1,Timberwood Park,34979.98,0.00,0.00,0.00,0.00,0.00
1,Del Rio,34637.96,0.00,0.01,0.00,0.00,0.00
1,Prosper,34566.99,0.00,0.00,0.00,0.00,0.00
1,Lufkin,34157.86,0.00,0.02,0.00,0.00,0.00
1,Weatherford,33923.99,0.00,0.00,0.00,0.00,0.00
1,Cibolo,33828.98,0.00,0.00,0.00,0.00,0.00
1,Deer Park,33821.74,0.02,0.17,0.02,0.02,0.00
1,Harker Heights,33594.98,0.00,0.00,0.00,0.00,0.00
1,Cleburne,32965.99,0.00,0.00,0.00,0.00,0.00
1,Canyon Lake,32923.97,0.00,0.00,0.00,0.00,0.00
1,Hutto,32187.97,0.00,0.00,0.00,0.00,0.00
1,Nacogdoches,32103.90,0.00,0.01,0.00,0.00,0.00
1,West Odessa,31984.99,0.00,0.00,0.00,0.00,0.00
1,Seguin,31788.97,0.00,0.00,0.00,0.00,0.00
1,Southlake,31043.99,0.00,0.00,0.00,0.00,0.00
1,Greenville,29935.99,0.00,0.00,0.00,0.00,0.00
1,Sachse,29074.99,0.00,0.00,0.00,0.00,0.00
1,Converse,28763.99,0.00,0.00,0.00,0.00,0.00
1,Forney,28221.99,0.00,0.00,0.00,0.00,0.00
1,Eagle Pass,28185.96,0.00,0.00,0.00,0.00,0.00
1,Lake Jackson,27901.75,0.00,0.03,0.00,0.00,0.00
1,Alvin,27699.47,0.01,0.07,0.01,0.01,0.00
1,Balch Springs,27180.99,0.00,0.00,0.00,0.00,0.00
1,Celina,27140.99,0.00,0.00,0.00,0.00,0.00
1,Fulshear,26985.52,0.01,0.07,0.01,0.01,0.00
1,Colleyville,25905.99,0.00,0.00,0.00,0.00,0.00
1,Fort Hood,25785.99,0.00,0.00,0.00,0.00,0.00
1,Denison,25346.99,0.00,0.00,0.00,0.00,0.00
1,Corsicana,25343.98,0.00,0.00,0.00,0.00,0.00
1,University Park,25103.99,0.00,0.00,0.00,0.00,0.00
1,Kingsville,25060.96,0.00,0.00,0.00,0.00,0.00
1,Pecan Grove,24797.40,0.01,0.08,0.01,0.01,0.00
1,Big Spring,24768.98,0.00,0.00,0.00,0.00,0.00
1,Paris,24677.98,0.00,0.00,0.00,0.00,0.00
1,San Benito,24676.99,0.00,0.00,0.00,0.00,0.00
1,Cloverleaf,24628.34,0.03,0.23,0.02,0.02,0.00
1,Kerrville,24531.98,0.00,0.00,0.00,0.00,0.00
1,Saginaw,24466.99,0.00,0.00,0.00,0.00,0.00
1,Benbrook,24429.99,0.00,0.00,0.00,0.00,0.00
1,Fresno,24086.08,0.02,0.13,0.01,0.01,0.00
1,Katy,23899.49,0.01,0.07,0.01,0.01,0.00
1,Belton,23768.98,0.00,0.00,0.00,0.00,0.00
1,Marshall,23645.96,0.00,0.00,0.00,0.00,0.00
1,Watauga,23336.00,0.00,0.00,0.00,0.00,0.00
1,Horizon City,23069.00,0.00,0.00,0.00,0.00,0.00
1,Corinth,22868.00,0.00,0.00,0.00,0.00,0.00
1,Dickinson,21611.68,0.01,0.04,0.00,0.00,0.00
1,Ennis,21545.99,0.00,0.00,0.00,0.00,0.00
1,Stephenville,21344.99,0.00,0.00,0.00,0.00,0.00
1,Murphy,21001.00,0.00,0.00,0.00,0.00,0.00
1,Anna,20974.99,0.00,0.00,0.00,0.00,0.00
1,Princeton,20965.99,0.00,0.00,0.00,0.00,0.00
1,Brushy Creek,20952.99,0.00,0.00,0.00,0.00,0.00
1,Fate,20756.99,0.00,0.00,0.00,0.00,0.00
1,Portland,20368.98,0.00,0.00,0.00,0.00,0.00
1,Alamo,20008.00,0.00,0.00,0.00,0.00,0.00
1,Plainview,19892.99,0.00,0.00,0.00,0.00,0.00
1,Universal City,19852.99,0.00,0.00,0.00,0.00,0.00
1,Angleton,19596.77,0.00,0.03,0.00,0.00,0.00
